epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9319,2.16989,3.40698,1.9566,0.22625,0.04363,0.03159,0.01318,2.68977,4.37673,2.28697,0.000332435,0.000332435,0.0670889
2,99.5837,2.10172,2.8865,1.92196,0.43867,0.10516,0.11004,0.04672,2.1303,3.92089,2.08819,0.000659177,0.000659177,0.0340824
3,146.494,2.09261,2.84159,1.92047,0.76966,0.08399,0.08194,0.03131,2.2134,3.44448,2.12057,0.000979319,0.000979319,0.00106917
4,191.378,2.10156,2.77927,1.89477,0.48619,0.17702,0.12063,0.0539,2.1612,3.08614,1.99718,0.0009703,0.0009703,0.0009703
5,236.513,2.00958,2.65461,1.83153,0.51305,0.19093,0.15074,0.06925,2.09426,2.84197,1.99634,0.0009604,0.0009604,0.0009604
6,281.63,2.00906,2.59159,1.81591,0.5177,0.15062,0.13578,0.06802,2.07042,2.76789,1.97753,0.0009505,0.0009505,0.0009505
7,326.142,1.95199,2.50739,1.76806,0.5744,0.14143,0.15447,0.07531,2.07073,2.65852,1.93537,0.0009406,0.0009406,0.0009406
8,370.217,1.92946,2.46916,1.75637,0.63955,0.19558,0.17994,0.08078,2.08148,2.71841,1.93172,0.0009307,0.0009307,0.0009307
9,414.211,1.92699,2.49424,1.76933,0.66369,0.13885,0.15703,0.07648,2.02648,2.72486,1.95018,0.0009208,0.0009208,0.0009208
10,467.854,1.90278,2.40383,1.75311,0.57604,0.21976,0.22028,0.10105,1.96606,2.53776,1.87687,0.0009109,0.0009109,0.0009109
11,521.979,1.85394,2.34075,1.70934,0.3189,0.29183,0.22081,0.10035,1.96041,2.66152,1.93492,0.000901,0.000901,0.000901
12,573.843,1.86464,2.33626,1.71117,0.52538,0.2601,0.2165,0.09942,1.97715,2.4715,1.87743,0.0008911,0.0008911,0.0008911
13,625.076,1.84974,2.33225,1.71183,0.22892,0.22755,0.19439,0.10106,1.89233,2.58819,1.83322,0.0008812,0.0008812,0.0008812
14,671.197,1.83619,2.27984,1.69318,0.65312,0.16263,0.20198,0.10062,1.93429,2.48759,1.82619,0.0008713,0.0008713,0.0008713
15,715.527,1.83828,2.26913,1.68481,0.56655,0.21184,0.21665,0.10656,1.92317,2.4576,1.84224,0.0008614,0.0008614,0.0008614
16,759.484,1.79391,2.1577,1.65028,0.32071,0.29652,0.26896,0.13527,1.93007,2.458,1.81577,0.0008515,0.0008515,0.0008515
17,803.35,1.79196,2.16106,1.65838,0.24819,0.30611,0.2225,0.10575,1.9156,2.38987,1.78174,0.0008416,0.0008416,0.0008416
18,847.428,1.78225,2.17715,1.6409,0.55662,0.25721,0.22285,0.10453,1.95599,2.30057,1.83171,0.0008317,0.0008317,0.0008317
19,891.623,1.76213,2.14835,1.6207,0.36532,0.24229,0.2359,0.12451,1.94538,2.41772,1.83951,0.0008218,0.0008218,0.0008218
20,936.972,1.77037,2.10228,1.63315,0.27236,0.2692,0.24702,0.12323,1.88945,2.30331,1.7801,0.0008119,0.0008119,0.0008119
21,982.895,1.77094,2.12406,1.63015,0.33783,0.2227,0.24241,0.11433,1.90281,2.28077,1.78966,0.000802,0.000802,0.000802
22,1029.07,1.7498,2.06816,1.60894,0.62577,0.23975,0.24048,0.12128,1.89562,2.25568,1.78986,0.0007921,0.0007921,0.0007921
23,1075.14,1.7435,2.05658,1.59752,0.64521,0.24166,0.25273,0.12759,1.88425,2.24956,1.72769,0.0007822,0.0007822,0.0007822
24,1120.81,1.74377,2.03146,1.58769,0.63215,0.27294,0.25259,0.11958,1.92003,2.23232,1.77831,0.0007723,0.0007723,0.0007723
25,1166.2,1.74176,2.05457,1.59969,0.25577,0.26991,0.26742,0.12219,1.89594,2.21592,1.74455,0.0007624,0.0007624,0.0007624
26,1211.71,1.7316,2.00742,1.60055,0.46809,0.36346,0.28106,0.1288,1.86554,2.15058,1.79524,0.0007525,0.0007525,0.0007525
27,1257.31,1.72074,1.98127,1.58762,0.4268,0.22776,0.25239,0.11942,1.88825,2.27706,1.7591,0.0007426,0.0007426,0.0007426
28,1302.67,1.71036,1.97296,1.57496,0.61067,0.26652,0.25923,0.13009,1.8807,2.1565,1.76907,0.0007327,0.0007327,0.0007327
29,1348.53,1.70479,1.95966,1.58506,0.27067,0.31175,0.27455,0.12814,1.93159,2.19336,1.81275,0.0007228,0.0007228,0.0007228
30,1394.52,1.6845,1.96858,1.56127,0.58389,0.28966,0.28775,0.14734,1.89343,2.0992,1.78313,0.0007129,0.0007129,0.0007129
31,1440.23,1.69637,1.93394,1.5784,0.38008,0.29305,0.26863,0.13571,1.86387,2.14,1.77277,0.000703,0.000703,0.000703
32,1485.97,1.71379,1.97247,1.5849,0.64274,0.27579,0.30264,0.14274,1.86192,2.11053,1.74149,0.0006931,0.0006931,0.0006931
33,1552.15,1.69063,1.90287,1.56169,0.46001,0.3137,0.29773,0.13917,1.84479,2.12872,1.73482,0.0006832,0.0006832,0.0006832
34,1620.26,1.67271,1.89152,1.55431,0.53049,0.30423,0.32288,0.16118,1.81634,2.1126,1.73144,0.0006733,0.0006733,0.0006733
35,1679.6,1.64344,1.86761,1.53466,0.44433,0.28857,0.31354,0.15641,1.82533,2.09625,1.7098,0.0006634,0.0006634,0.0006634
36,1747.86,1.679,1.87731,1.55172,0.3679,0.31431,0.32887,0.15431,1.85742,2.12137,1.7266,0.0006535,0.0006535,0.0006535
37,1815.73,1.64574,1.84139,1.52579,0.51027,0.32587,0.34508,0.1576,1.87352,2.11092,1.71504,0.0006436,0.0006436,0.0006436
38,1883.06,1.65918,1.85992,1.54276,0.54367,0.30175,0.32396,0.16187,1.82756,2.05282,1.70209,0.0006337,0.0006337,0.0006337
39,1948.74,1.64592,1.82372,1.52055,0.56907,0.31086,0.33039,0.17487,1.89205,2.03381,1.74617,0.0006238,0.0006238,0.0006238
40,2015.83,1.64945,1.83617,1.54445,0.42439,0.30093,0.30506,0.15439,1.8476,2.04156,1.75018,0.0006139,0.0006139,0.0006139
41,2083.2,1.62607,1.81868,1.50827,0.32848,0.34544,0.33869,0.1735,1.85502,2.10028,1.72157,0.000604,0.000604,0.000604
42,2149.32,1.64221,1.78721,1.51528,0.41119,0.30098,0.33868,0.17879,1.88702,2.01628,1.71972,0.0005941,0.0005941,0.0005941
43,2215.44,1.63041,1.77929,1.51062,0.33501,0.32076,0.30663,0.15187,1.87293,2.06543,1.74384,0.0005842,0.0005842,0.0005842
44,2282.49,1.62751,1.76114,1.50288,0.45127,0.29249,0.32361,0.15858,1.84936,2.02567,1.71872,0.0005743,0.0005743,0.0005743
45,2348.63,1.63485,1.73769,1.50449,0.49052,0.3121,0.33014,0.1637,1.83895,2.01526,1.69341,0.0005644,0.0005644,0.0005644
46,2416.36,1.62148,1.75833,1.49535,0.44363,0.31052,0.35188,0.18502,1.85461,1.98556,1.72803,0.0005545,0.0005545,0.0005545
47,2482.56,1.58987,1.71903,1.47951,0.56593,0.30627,0.33569,0.18221,1.84889,2.02301,1.73302,0.0005446,0.0005446,0.0005446
48,2551.41,1.60072,1.70422,1.48025,0.43737,0.30365,0.33899,0.16871,1.84358,1.97707,1.73816,0.0005347,0.0005347,0.0005347
49,2611.6,1.58525,1.7063,1.48209,0.62194,0.31803,0.37112,0.18838,1.87446,1.97025,1.73982,0.0005248,0.0005248,0.0005248
50,2666.97,1.59915,1.70096,1.48434,0.42651,0.37078,0.37315,0.17278,1.84891,1.96383,1.7137,0.0005149,0.0005149,0.0005149
51,2722.8,1.5779,1.6793,1.47916,0.42849,0.37367,0.38118,0.17841,1.85243,1.97213,1.72624,0.000505,0.000505,0.000505
52,2778.45,1.56585,1.66235,1.45733,0.42028,0.30627,0.36137,0.18827,1.85583,1.94933,1.73214,0.0004951,0.0004951,0.0004951
53,2834.36,1.56743,1.62628,1.46418,0.47492,0.31613,0.34841,0.17329,1.87209,2.01871,1.74509,0.0004852,0.0004852,0.0004852
54,2890.37,1.58824,1.66108,1.47388,0.43997,0.41637,0.37316,0.16786,1.86203,1.94144,1.72146,0.0004753,0.0004753,0.0004753
55,2946.46,1.56876,1.65598,1.45457,0.4412,0.33069,0.34148,0.16566,1.85062,1.93262,1.69914,0.0004654,0.0004654,0.0004654
56,3001.99,1.55929,1.62377,1.45343,0.46588,0.3437,0.36131,0.17818,1.85602,1.95878,1.71655,0.0004555,0.0004555,0.0004555
57,3057.97,1.53111,1.60722,1.44735,0.39051,0.41918,0.38367,0.20205,1.86271,1.93227,1.74686,0.0004456,0.0004456,0.0004456
58,3117.29,1.53709,1.5946,1.4484,0.49785,0.31741,0.36185,0.18404,1.82839,1.90896,1.70383,0.0004357,0.0004357,0.0004357
59,3193.07,1.52386,1.58411,1.4379,0.5355,0.33978,0.37344,0.16205,1.82065,1.90462,1.70841,0.0004258,0.0004258,0.0004258
60,3268.27,1.53328,1.56907,1.43216,0.37375,0.38042,0.37469,0.17101,1.86796,1.9202,1.72171,0.0004159,0.0004159,0.0004159
61,3343.53,1.51725,1.54833,1.42672,0.39028,0.37253,0.336,0.16653,1.84905,1.94261,1.71153,0.000406,0.000406,0.000406
62,3419.31,1.51599,1.5457,1.42308,0.45593,0.31942,0.36005,0.17299,1.86615,1.93626,1.71832,0.0003961,0.0003961,0.0003961
63,3494.9,1.51151,1.54359,1.41828,0.43706,0.38695,0.37451,0.18259,1.8459,1.92526,1.70125,0.0003862,0.0003862,0.0003862
64,3570.3,1.50484,1.54297,1.41395,0.71546,0.38603,0.40634,0.18292,1.84553,1.89497,1.69463,0.0003763,0.0003763,0.0003763
65,3646.32,1.4973,1.50158,1.41022,0.47343,0.40711,0.38335,0.18274,1.86025,1.93508,1.71819,0.0003664,0.0003664,0.0003664
66,3722.06,1.5,1.50069,1.415,0.55933,0.32618,0.36714,0.1845,1.84471,1.91093,1.70935,0.0003565,0.0003565,0.0003565
67,3785.22,1.47828,1.49123,1.40066,0.47272,0.35949,0.38905,0.18547,1.83844,1.86149,1.70701,0.0003466,0.0003466,0.0003466
68,3831.81,1.50181,1.51095,1.41275,0.58486,0.32202,0.36783,0.18715,1.84521,1.88274,1.71362,0.0003367,0.0003367,0.0003367
69,3877.93,1.46882,1.44113,1.38615,0.4967,0.35885,0.37011,0.18103,1.84608,1.90522,1.70857,0.0003268,0.0003268,0.0003268
70,3924.19,1.47372,1.46345,1.38233,0.63707,0.32266,0.38248,0.19097,1.8622,1.88888,1.70745,0.0003169,0.0003169,0.0003169
71,3970.81,1.46796,1.44747,1.38667,0.47432,0.42545,0.40258,0.18407,1.8633,1.9066,1.70279,0.000307,0.000307,0.000307
72,4016.91,1.49183,1.46423,1.40495,0.50356,0.31347,0.3736,0.1775,1.85802,1.87144,1.70845,0.0002971,0.0002971,0.0002971
73,4062.86,1.46006,1.4289,1.38197,0.49136,0.3536,0.35872,0.16921,1.86147,1.86592,1.7119,0.0002872,0.0002872,0.0002872
