epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4491,2.13686,3.31454,1.95316,0.44209,0.14023,0.07905,0.02826,2.42893,3.4622,2.46936,0.000332623,0.000332623,0.0670704
2,127.008,2.08779,2.86304,1.94833,0.19664,0.13131,0.09842,0.03636,2.24163,2.99977,2.07746,0.000659363,0.000659363,0.0340638
3,187.788,2.03,2.72148,1.89711,0.45267,0.11532,0.13128,0.05303,2.13816,3.10815,2.11466,0.000979503,0.000979503,0.00105058
4,247.401,2.02057,2.67208,1.88808,0.19945,0.20168,0.15364,0.06569,2.17029,2.74377,2.04744,0.0009703,0.0009703,0.0009703
5,313.57,1.96467,2.55952,1.82626,0.4464,0.15746,0.16703,0.06787,2.09287,2.61309,2.05638,0.0009604,0.0009604,0.0009604
6,371.1,1.95665,2.48394,1.79913,0.49571,0.21416,0.19189,0.08653,2.02846,2.5709,1.98287,0.0009505,0.0009505,0.0009505
7,428.096,1.9213,2.42693,1.78486,0.56871,0.23267,0.22637,0.10035,2.02363,2.44845,1.96667,0.0009406,0.0009406,0.0009406
8,485.212,1.91568,2.3926,1.76689,0.5306,0.22289,0.2067,0.09408,2.01113,2.53465,1.87415,0.0009307,0.0009307,0.0009307
9,543.454,1.89032,2.33874,1.74666,0.54378,0.22536,0.22778,0.10271,1.97286,2.50305,1.93259,0.0009208,0.0009208,0.0009208
10,615.601,1.87414,2.31058,1.73431,0.52326,0.19907,0.19179,0.08872,2.005,2.65761,1.91407,0.0009109,0.0009109,0.0009109
11,687.367,1.85982,2.25979,1.72921,0.59408,0.2468,0.25913,0.11411,1.93729,2.37646,1.88341,0.000901,0.000901,0.000901
12,748.696,1.84956,2.24169,1.7088,0.62076,0.21031,0.25596,0.11754,1.91019,2.38811,1.84167,0.0008911,0.0008911,0.0008911
13,804.942,1.83432,2.2046,1.69708,0.36148,0.3214,0.27577,0.12928,1.93967,2.25974,1.83727,0.0008812,0.0008812,0.0008812
14,861.166,1.81436,2.19576,1.67662,0.5618,0.26114,0.26072,0.12165,1.92543,2.28244,1.85621,0.0008713,0.0008713,0.0008713
15,917.643,1.80749,2.15757,1.67197,0.45853,0.31266,0.31771,0.13918,1.92246,2.18128,1.81667,0.0008614,0.0008614,0.0008614
16,974.21,1.82973,2.17604,1.69832,0.56843,0.29,0.2764,0.12975,1.9112,2.23122,1.83654,0.0008515,0.0008515,0.0008515
17,1031,1.79973,2.09701,1.66432,0.44817,0.29495,0.31369,0.14915,1.88382,2.10436,1.80428,0.0008416,0.0008416,0.0008416
18,1088,1.79633,2.11353,1.6728,0.59662,0.30266,0.29864,0.13858,1.89962,2.21788,1.80269,0.0008317,0.0008317,0.0008317
19,1144.87,1.78989,2.10717,1.66541,0.38734,0.2674,0.29101,0.13606,1.881,2.20469,1.84728,0.0008218,0.0008218,0.0008218
20,1201.31,1.78556,2.10373,1.65987,0.5914,0.30572,0.30639,0.14224,1.90615,2.08696,1.81883,0.0008119,0.0008119,0.0008119
21,1260.13,1.7682,2.05322,1.6416,0.44663,0.31756,0.33232,0.15391,1.86056,2.12554,1.78015,0.000802,0.000802,0.000802
22,1320.18,1.76091,2.03078,1.63314,0.50542,0.38472,0.34507,0.17252,1.8588,2.12212,1.79705,0.0007921,0.0007921,0.0007921
23,1377.72,1.77648,2.02709,1.64593,0.43017,0.33311,0.32708,0.14492,1.88456,2.10315,1.79294,0.0007822,0.0007822,0.0007822
24,1435.08,1.76646,2.02,1.63924,0.43816,0.38063,0.33812,0.16001,1.87013,2.02776,1.80742,0.0007723,0.0007723,0.0007723
25,1492.51,1.75121,2.00196,1.63631,0.43042,0.32333,0.34094,0.15958,1.85043,2.02334,1.77565,0.0007624,0.0007624,0.0007624
26,1549.18,1.74129,1.96216,1.61023,0.47478,0.30789,0.33975,0.16565,1.84483,2.03451,1.76602,0.0007525,0.0007525,0.0007525
27,1606,1.73249,1.96797,1.61534,0.62351,0.30702,0.33735,0.15994,1.8473,2.0436,1.7802,0.0007426,0.0007426,0.0007426
28,1675.52,1.73624,1.93836,1.60939,0.49952,0.32015,0.35674,0.1732,1.85265,1.97709,1.77802,0.0007327,0.0007327,0.0007327
29,1750.3,1.72664,1.91089,1.60347,0.459,0.36155,0.35949,0.17141,1.84942,1.98658,1.76176,0.0007228,0.0007228,0.0007228
30,1808.45,1.7145,1.93289,1.61173,0.5424,0.3468,0.37114,0.18133,1.84204,1.92507,1.76422,0.0007129,0.0007129,0.0007129
31,1867.42,1.69756,1.88309,1.5943,0.51523,0.33673,0.38082,0.18587,1.84606,1.94733,1.77687,0.000703,0.000703,0.000703
32,1926.44,1.72389,1.90454,1.60873,0.39321,0.40885,0.38098,0.18002,1.82436,1.9671,1.75627,0.0006931,0.0006931,0.0006931
33,1985.27,1.70703,1.88827,1.58775,0.58994,0.41111,0.40275,0.19406,1.82808,1.91704,1.736,0.0006832,0.0006832,0.0006832
34,2044.92,1.69463,1.87411,1.58554,0.59523,0.35221,0.38488,0.18506,1.82546,1.90159,1.72801,0.0006733,0.0006733,0.0006733
35,2104.1,1.68631,1.84092,1.57017,0.49335,0.36707,0.39648,0.18364,1.82842,1.93075,1.7196,0.0006634,0.0006634,0.0006634
36,2161.85,1.67153,1.81249,1.57272,0.47102,0.39754,0.40872,0.19453,1.81445,1.87951,1.73482,0.0006535,0.0006535,0.0006535
37,2220.15,1.67971,1.84138,1.57092,0.45768,0.35814,0.38814,0.18235,1.83684,1.90581,1.75573,0.0006436,0.0006436,0.0006436
38,2278,1.67646,1.79694,1.56958,0.4912,0.37362,0.37711,0.17989,1.83416,1.90774,1.74394,0.0006337,0.0006337,0.0006337
39,2337.2,1.67777,1.79419,1.56139,0.55393,0.33587,0.39397,0.19162,1.84143,1.88393,1.74177,0.0006238,0.0006238,0.0006238
40,2396.88,1.65975,1.76708,1.5467,0.51409,0.35746,0.40008,0.19305,1.78602,1.88603,1.71516,0.0006139,0.0006139,0.0006139
41,2454.92,1.66173,1.75183,1.54709,0.42781,0.40815,0.38267,0.18908,1.79851,1.86641,1.72781,0.000604,0.000604,0.000604
42,2513.26,1.64852,1.75664,1.53394,0.40806,0.34635,0.39953,0.19326,1.81145,1.85823,1.70936,0.0005941,0.0005941,0.0005941
43,2571.38,1.65562,1.75835,1.55222,0.41514,0.41201,0.38684,0.18204,1.83874,1.86051,1.75347,0.0005842,0.0005842,0.0005842
44,2629.87,1.63651,1.72489,1.54115,0.40701,0.41391,0.39616,0.1921,1.80689,1.85482,1.71803,0.0005743,0.0005743,0.0005743
45,2688.49,1.63956,1.71632,1.53499,0.48698,0.41368,0.40145,0.19352,1.81593,1.83856,1.72924,0.0005644,0.0005644,0.0005644
46,2746.8,1.6215,1.70257,1.5249,0.36814,0.43733,0.39437,0.18463,1.81128,1.83546,1.71685,0.0005545,0.0005545,0.0005545
47,2805.71,1.6174,1.71276,1.52543,0.47916,0.42903,0.40737,0.19326,1.8023,1.82409,1.71512,0.0005446,0.0005446,0.0005446
48,2864.13,1.63517,1.71413,1.53601,0.45827,0.43213,0.44143,0.20004,1.81833,1.80618,1.71896,0.0005347,0.0005347,0.0005347
49,2922.31,1.60385,1.68641,1.51217,0.47945,0.42788,0.43911,0.21767,1.80972,1.80013,1.70954,0.0005248,0.0005248,0.0005248
50,2981.27,1.61723,1.66198,1.51825,0.49386,0.47703,0.44135,0.20639,1.8222,1.78773,1.72277,0.0005149,0.0005149,0.0005149
51,3039.31,1.59988,1.66336,1.50625,0.69083,0.36169,0.417,0.20393,1.80648,1.78898,1.71232,0.000505,0.000505,0.000505
52,3097.44,1.59436,1.63803,1.49837,0.67538,0.39583,0.45827,0.22449,1.80114,1.76697,1.70647,0.0004951,0.0004951,0.0004951
53,3155.66,1.59524,1.62827,1.50556,0.61595,0.43916,0.45407,0.21736,1.79784,1.7947,1.71378,0.0004852,0.0004852,0.0004852
54,3213.91,1.60252,1.62849,1.50445,0.53329,0.46805,0.46184,0.22259,1.81235,1.77442,1.72806,0.0004753,0.0004753,0.0004753
55,3271.91,1.58822,1.6151,1.49759,0.49191,0.4514,0.4482,0.21588,1.81277,1.79695,1.71841,0.0004654,0.0004654,0.0004654
56,3330.36,1.59559,1.59853,1.49401,0.60576,0.39274,0.44277,0.21737,1.80715,1.76854,1.72175,0.0004555,0.0004555,0.0004555
57,3388.43,1.5794,1.57937,1.48695,0.55088,0.41765,0.45166,0.21413,1.82622,1.76727,1.72299,0.0004456,0.0004456,0.0004456
58,3446.67,1.57974,1.58581,1.48254,0.53474,0.40773,0.4427,0.21009,1.80155,1.76139,1.70893,0.0004357,0.0004357,0.0004357
59,3505.07,1.55571,1.56778,1.47635,0.52508,0.3961,0.42515,0.21083,1.81566,1.75394,1.72115,0.0004258,0.0004258,0.0004258
60,3563.28,1.5588,1.54247,1.47423,0.41549,0.43819,0.41698,0.20557,1.82767,1.74335,1.72723,0.0004159,0.0004159,0.0004159
61,3621.5,1.56551,1.56339,1.47674,0.53441,0.38197,0.42261,0.21002,1.8308,1.75948,1.73905,0.000406,0.000406,0.000406
62,3681.39,1.55591,1.53877,1.47507,0.47268,0.4492,0.46178,0.22727,1.81683,1.73308,1.72483,0.0003961,0.0003961,0.0003961
63,3739.71,1.55328,1.53374,1.46628,0.46062,0.45025,0.43813,0.21693,1.81481,1.71371,1.71182,0.0003862,0.0003862,0.0003862
64,3798.47,1.5637,1.53182,1.47887,0.58452,0.38925,0.4462,0.22366,1.82819,1.71599,1.73524,0.0003763,0.0003763,0.0003763
65,3856.5,1.53554,1.51198,1.45965,0.56248,0.43223,0.45504,0.22467,1.82082,1.7143,1.72646,0.0003664,0.0003664,0.0003664
66,3914.31,1.53197,1.51709,1.4614,0.56066,0.44665,0.46065,0.23182,1.82452,1.70949,1.73206,0.0003565,0.0003565,0.0003565
67,3971.81,1.53076,1.51427,1.45202,0.47867,0.50715,0.45885,0.22977,1.83316,1.71528,1.72971,0.0003466,0.0003466,0.0003466
68,4029.77,1.52029,1.47306,1.44017,0.49832,0.49675,0.46064,0.22678,1.83525,1.73172,1.7336,0.0003367,0.0003367,0.0003367
69,4087.85,1.51376,1.47763,1.4428,0.66302,0.39477,0.46494,0.22643,1.83484,1.71878,1.72885,0.0003268,0.0003268,0.0003268
70,4146.27,1.51614,1.47077,1.44259,0.61562,0.38932,0.45565,0.22685,1.83975,1.69852,1.736,0.0003169,0.0003169,0.0003169
71,4205.24,1.51935,1.44988,1.44194,0.4437,0.49202,0.45921,0.2287,1.84097,1.69025,1.73235,0.000307,0.000307,0.000307
72,4263.49,1.50945,1.44332,1.43668,0.47142,0.5145,0.45266,0.22444,1.84251,1.69545,1.72223,0.0002971,0.0002971,0.0002971
73,4321.94,1.51334,1.44904,1.43841,0.46595,0.49974,0.44886,0.2223,1.84387,1.7083,1.72868,0.0002872,0.0002872,0.0002872
74,4380.1,1.49277,1.41821,1.42122,0.43742,0.49214,0.44213,0.21503,1.8496,1.71501,1.7337,0.0002773,0.0002773,0.0002773
75,4437.97,1.51406,1.43488,1.43422,0.52682,0.38876,0.45243,0.2246,1.84704,1.69393,1.74037,0.0002674,0.0002674,0.0002674
76,4496.06,1.49009,1.40963,1.41837,0.48509,0.41823,0.44929,0.2253,1.84952,1.70275,1.74128,0.0002575,0.0002575,0.0002575
77,4554.19,1.48354,1.39697,1.41704,0.48948,0.48247,0.45779,0.22711,1.8498,1.6932,1.73993,0.0002476,0.0002476,0.0002476
78,4612.36,1.49077,1.40877,1.4182,0.44996,0.46305,0.45102,0.22981,1.85011,1.6918,1.7397,0.0002377,0.0002377,0.0002377
79,4670.83,1.48433,1.40182,1.41455,0.49946,0.40955,0.45223,0.22967,1.84693,1.68812,1.73647,0.0002278,0.0002278,0.0002278
80,4730.49,1.48284,1.37505,1.41446,0.49823,0.46273,0.45504,0.22461,1.85209,1.69842,1.74165,0.0002179,0.0002179,0.0002179
81,4788.85,1.47,1.35927,1.40594,0.49403,0.49536,0.46427,0.22758,1.85447,1.6923,1.74013,0.000208,0.000208,0.000208
82,4847.15,1.46586,1.3563,1.40129,0.42765,0.52385,0.46695,0.22942,1.85944,1.69168,1.74562,0.0001981,0.0001981,0.0001981
83,4906.19,1.46212,1.37042,1.39789,0.44049,0.5192,0.46426,0.22832,1.86338,1.69004,1.74821,0.0001882,0.0001882,0.0001882
