epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6877,2.07254,2.72933,1.7668,0.38345,0.21834,0.19172,0.07927,2.17086,2.78661,1.86593,0.000331325,0.000331325,0.0671988
2,47.7009,1.99251,2.26622,1.68796,0.3648,0.33333,0.28573,0.12924,2.01869,2.69361,1.82048,0.000658079,0.000658079,0.0341922
3,68.2385,1.94202,2.15158,1.64813,0.40645,0.33042,0.32512,0.15011,2.04413,2.4218,1.76919,0.000978232,0.000978232,0.00117903
4,88.5703,1.9681,2.1236,1.66501,0.37651,0.29112,0.26431,0.11782,2.06646,2.6482,1.77787,0.0009703,0.0009703,0.0009703
5,109.029,1.94524,2.11772,1.66,0.47796,0.35662,0.35558,0.16246,1.97419,2.20842,1.79356,0.0009604,0.0009604,0.0009604
6,129.763,1.89218,2.00851,1.6138,0.50888,0.3508,0.36268,0.16811,2.00642,2.12499,1.66327,0.0009505,0.0009505,0.0009505
7,151.449,1.89625,1.99216,1.6206,0.54273,0.3901,0.43465,0.21336,1.87675,1.97913,1.63598,0.0009406,0.0009406,0.0009406
8,174.969,1.86794,1.90421,1.58986,0.57935,0.41921,0.45946,0.23142,1.87658,1.9247,1.64863,0.0009307,0.0009307,0.0009307
9,197.202,1.8384,1.90345,1.57115,0.59416,0.38428,0.43064,0.21558,1.85465,2.03162,1.68125,0.0009208,0.0009208,0.0009208
10,217.522,1.80329,1.88475,1.55476,0.51918,0.41808,0.45688,0.22405,1.81686,1.9165,1.59232,0.0009109,0.0009109,0.0009109
11,238.615,1.8061,1.84438,1.56044,0.54987,0.3983,0.43622,0.21984,1.84262,1.90785,1.59307,0.000901,0.000901,0.000901
12,258.922,1.80527,1.81048,1.55139,0.60192,0.41048,0.48311,0.2402,1.83875,1.8436,1.60783,0.0008911,0.0008911,0.0008911
13,279.271,1.7862,1.8099,1.53476,0.60621,0.4032,0.47064,0.24823,1.80028,1.92948,1.5987,0.0008812,0.0008812,0.0008812
14,299.619,1.77358,1.76053,1.52819,0.55138,0.45124,0.50439,0.2666,1.76965,1.77173,1.55787,0.0008713,0.0008713,0.0008713
15,319.827,1.75638,1.73768,1.50955,0.56829,0.44541,0.50198,0.26275,1.80361,1.80757,1.61461,0.0008614,0.0008614,0.0008614
16,339.711,1.7499,1.7426,1.50936,0.54635,0.47016,0.48682,0.23952,1.85923,1.90104,1.6134,0.0008515,0.0008515,0.0008515
17,360.246,1.74334,1.69919,1.50842,0.59037,0.42795,0.48588,0.25905,1.77737,1.78059,1.59847,0.0008416,0.0008416,0.0008416
18,380.746,1.73191,1.70113,1.5029,0.60256,0.46579,0.50706,0.26495,1.77466,1.75965,1.54747,0.0008317,0.0008317,0.0008317
19,400.756,1.73157,1.69187,1.50751,0.57456,0.4687,0.51709,0.27047,1.78274,1.74665,1.57809,0.0008218,0.0008218,0.0008218
20,424.249,1.71563,1.64854,1.47433,0.62603,0.46288,0.52276,0.26919,1.74939,1.72498,1.55927,0.0008119,0.0008119,0.0008119
21,447.178,1.72742,1.65386,1.48985,0.67806,0.4568,0.53448,0.28234,1.74082,1.70404,1.52783,0.000802,0.000802,0.000802
22,467.591,1.6965,1.59532,1.45478,0.57352,0.4556,0.51489,0.26319,1.77663,1.72759,1.55389,0.0007921,0.0007921,0.0007921
23,490.642,1.7162,1.62835,1.47353,0.54332,0.4687,0.47912,0.24449,1.84716,1.81002,1.57711,0.0007822,0.0007822,0.0007822
24,514.193,1.72768,1.6432,1.48142,0.52502,0.43119,0.47325,0.24997,1.76368,1.76393,1.56438,0.0007723,0.0007723,0.0007723
25,537.151,1.68864,1.62369,1.47775,0.61911,0.46288,0.52975,0.28049,1.75645,1.70564,1.54404,0.0007624,0.0007624,0.0007624
26,560.338,1.67366,1.57909,1.45979,0.63423,0.48712,0.54823,0.28903,1.74013,1.6466,1.53971,0.0007525,0.0007525,0.0007525
27,583.274,1.69238,1.58658,1.46102,0.66489,0.47016,0.54721,0.29992,1.72323,1.63984,1.51996,0.0007426,0.0007426,0.0007426
28,606.66,1.68444,1.57412,1.45355,0.62122,0.43523,0.52134,0.2772,1.75868,1.76333,1.55448,0.0007327,0.0007327,0.0007327
29,627.734,1.64582,1.54996,1.44137,0.66605,0.47902,0.55284,0.29843,1.7379,1.64235,1.52425,0.0007228,0.0007228,0.0007228
30,648.118,1.65648,1.54006,1.44179,0.59607,0.52402,0.55262,0.29968,1.73023,1.63811,1.53892,0.0007129,0.0007129,0.0007129
31,668.474,1.66,1.5234,1.44751,0.6268,0.49199,0.54532,0.29815,1.72752,1.66817,1.5093,0.000703,0.000703,0.000703
32,689.588,1.6441,1.52138,1.43748,0.6529,0.47307,0.54986,0.28697,1.732,1.66591,1.52479,0.0006931,0.0006931,0.0006931
33,712.77,1.64105,1.49575,1.42629,0.64279,0.49927,0.56248,0.29476,1.74455,1.65349,1.52697,0.0006832,0.0006832,0.0006832
34,734.277,1.62223,1.50657,1.41779,0.61018,0.51265,0.55966,0.30449,1.72973,1.60154,1.52542,0.0006733,0.0006733,0.0006733
35,754.249,1.64134,1.48231,1.4247,0.64804,0.49927,0.57263,0.31813,1.71347,1.5893,1.51191,0.0006634,0.0006634,0.0006634
36,774.603,1.62877,1.4627,1.41103,0.59614,0.51092,0.54462,0.29207,1.74954,1.69578,1.55038,0.0006535,0.0006535,0.0006535
37,795.018,1.60014,1.45547,1.40043,0.62451,0.54003,0.58286,0.30908,1.7068,1.56512,1.48448,0.0006436,0.0006436,0.0006436
38,815.6,1.60733,1.45061,1.39563,0.66484,0.4687,0.55252,0.29983,1.72708,1.58281,1.51808,0.0006337,0.0006337,0.0006337
39,835.763,1.61292,1.42422,1.40893,0.65894,0.49497,0.56563,0.3045,1.73414,1.58601,1.53139,0.0006238,0.0006238,0.0006238
40,855.889,1.60193,1.42227,1.39897,0.65571,0.48617,0.56579,0.29762,1.75614,1.58213,1.53089,0.0006139,0.0006139,0.0006139
41,876.025,1.57217,1.37261,1.37495,0.61499,0.52838,0.57583,0.30885,1.73232,1.56955,1.51109,0.000604,0.000604,0.000604
42,896.501,1.58364,1.40627,1.39497,0.65426,0.51092,0.58352,0.31175,1.74367,1.55351,1.52919,0.0005941,0.0005941,0.0005941
43,916.7,1.5814,1.39557,1.38329,0.63118,0.50509,0.57123,0.29848,1.76768,1.60145,1.52902,0.0005842,0.0005842,0.0005842
44,937.025,1.56995,1.3774,1.37898,0.66642,0.50946,0.57506,0.3016,1.7732,1.56276,1.50922,0.0005743,0.0005743,0.0005743
45,957.565,1.56808,1.35806,1.37083,0.62773,0.50364,0.56536,0.29917,1.75008,1.56221,1.50982,0.0005644,0.0005644,0.0005644
46,977.865,1.5713,1.3704,1.37793,0.60317,0.5444,0.57879,0.30861,1.76542,1.56198,1.52909,0.0005545,0.0005545,0.0005545
47,998.3,1.55401,1.32074,1.35994,0.65218,0.48908,0.55288,0.2904,1.78162,1.60605,1.53129,0.0005446,0.0005446,0.0005446
48,1018.9,1.5288,1.30263,1.34892,0.65386,0.55268,0.59906,0.3179,1.73679,1.5269,1.52323,0.0005347,0.0005347,0.0005347
49,1039.31,1.56488,1.34349,1.37501,0.68666,0.48035,0.55993,0.30065,1.76164,1.62347,1.54457,0.0005248,0.0005248,0.0005248
50,1059.61,1.54311,1.31627,1.36705,0.67465,0.50364,0.57754,0.31329,1.72761,1.54901,1.52378,0.0005149,0.0005149,0.0005149
51,1080.35,1.54344,1.3313,1.36083,0.66152,0.51775,0.59276,0.31862,1.73355,1.51551,1.52322,0.000505,0.000505,0.000505
52,1102.67,1.5369,1.29276,1.35883,0.64809,0.54686,0.59533,0.31317,1.75329,1.5152,1.52214,0.0004951,0.0004951,0.0004951
53,1126.18,1.51448,1.27431,1.33491,0.65515,0.53924,0.59681,0.32194,1.73597,1.49789,1.51436,0.0004852,0.0004852,0.0004852
54,1148.88,1.5083,1.25485,1.33518,0.6268,0.52807,0.58752,0.31195,1.73348,1.53122,1.52164,0.0004753,0.0004753,0.0004753
55,1171.21,1.51757,1.2683,1.34355,0.65994,0.56332,0.60208,0.31844,1.72491,1.50795,1.51564,0.0004654,0.0004654,0.0004654
56,1193.03,1.50709,1.24797,1.33714,0.61246,0.5575,0.60154,0.31984,1.75758,1.49,1.52059,0.0004555,0.0004555,0.0004555
57,1213.87,1.49755,1.26105,1.32661,0.61959,0.56477,0.60571,0.3166,1.75917,1.48828,1.53677,0.0004456,0.0004456,0.0004456
58,1233.8,1.49454,1.24041,1.32322,0.66306,0.55022,0.60417,0.31754,1.77897,1.49344,1.5429,0.0004357,0.0004357,0.0004357
59,1253.97,1.50315,1.21564,1.33121,0.69433,0.54585,0.6107,0.32519,1.75061,1.48224,1.51737,0.0004258,0.0004258,0.0004258
60,1274.26,1.48643,1.20413,1.31888,0.67,0.54294,0.61079,0.32381,1.74482,1.51077,1.52335,0.0004159,0.0004159,0.0004159
61,1294.19,1.4915,1.21652,1.31616,0.65133,0.56015,0.60496,0.32134,1.75892,1.46737,1.52931,0.000406,0.000406,0.000406
62,1314.2,1.49982,1.22576,1.33003,0.64631,0.5444,0.58583,0.31473,1.71685,1.47522,1.50494,0.0003961,0.0003961,0.0003961
63,1334.53,1.49182,1.21381,1.31034,0.6586,0.55879,0.60502,0.31926,1.75132,1.46279,1.52195,0.0003862,0.0003862,0.0003862
64,1354.94,1.46692,1.18084,1.30937,0.68325,0.52434,0.59746,0.31413,1.76211,1.48691,1.51789,0.0003763,0.0003763,0.0003763
65,1375.73,1.4777,1.19457,1.31584,0.69221,0.51965,0.5979,0.32217,1.73662,1.48778,1.53048,0.0003664,0.0003664,0.0003664
66,1395.77,1.45679,1.17625,1.30571,0.67705,0.55895,0.60898,0.32671,1.7426,1.47509,1.52435,0.0003565,0.0003565,0.0003565
67,1415.92,1.46668,1.18858,1.3052,0.61962,0.55483,0.59647,0.31988,1.75494,1.49982,1.52205,0.0003466,0.0003466,0.0003466
68,1436.25,1.43956,1.14309,1.28961,0.67142,0.53837,0.60529,0.31979,1.77066,1.48077,1.54927,0.0003367,0.0003367,0.0003367
69,1456.42,1.4374,1.13054,1.28875,0.70679,0.50526,0.5996,0.32165,1.76759,1.47106,1.53847,0.0003268,0.0003268,0.0003268
70,1476.3,1.45085,1.14993,1.30704,0.61714,0.58425,0.61551,0.32384,1.75933,1.46897,1.54231,0.0003169,0.0003169,0.0003169
71,1496.71,1.42214,1.12481,1.2803,0.68192,0.53421,0.59889,0.32145,1.75873,1.47457,1.5447,0.000307,0.000307,0.000307
72,1517.17,1.44139,1.12837,1.28949,0.67847,0.54876,0.60077,0.31771,1.77631,1.48411,1.53824,0.0002971,0.0002971,0.0002971
73,1537.06,1.40573,1.10502,1.26114,0.64667,0.58952,0.61107,0.32333,1.78381,1.45668,1.5457,0.0002872,0.0002872,0.0002872
74,1557.45,1.4279,1.08825,1.27438,0.658,0.5573,0.5989,0.32717,1.77707,1.4426,1.54596,0.0002773,0.0002773,0.0002773
75,1577.78,1.41661,1.09725,1.26413,0.63811,0.58005,0.61441,0.32465,1.78083,1.4475,1.54089,0.0002674,0.0002674,0.0002674
76,1598.03,1.40961,1.10052,1.27105,0.69486,0.55024,0.60938,0.32963,1.76287,1.46058,1.53289,0.0002575,0.0002575,0.0002575
77,1618.24,1.40804,1.08794,1.26829,0.65029,0.56623,0.60831,0.32772,1.76769,1.4335,1.53413,0.0002476,0.0002476,0.0002476
78,1638.34,1.39155,1.08686,1.2678,0.65852,0.58224,0.61862,0.33139,1.75796,1.43924,1.5419,0.0002377,0.0002377,0.0002377
79,1659.1,1.37876,1.06161,1.25106,0.71216,0.53421,0.61339,0.33295,1.76695,1.41836,1.53136,0.0002278,0.0002278,0.0002278
80,1679.34,1.39561,1.06557,1.26685,0.68665,0.56457,0.62062,0.33101,1.77638,1.41231,1.54092,0.0002179,0.0002179,0.0002179
81,1699.67,1.38326,1.04358,1.24715,0.66196,0.57496,0.62262,0.33209,1.77892,1.4087,1.54621,0.000208,0.000208,0.000208
82,1719.8,1.38625,1.05577,1.26103,0.66145,0.5837,0.61716,0.33479,1.77887,1.43783,1.55108,0.0001981,0.0001981,0.0001981
83,1739.97,1.37154,1.04157,1.24997,0.71266,0.53712,0.60631,0.32248,1.7947,1.41119,1.56227,0.0001882,0.0001882,0.0001882
84,1759.92,1.38499,1.03263,1.2504,0.66041,0.58224,0.61832,0.33197,1.78497,1.41711,1.5469,0.0001783,0.0001783,0.0001783
85,1780.14,1.3558,1.03406,1.23982,0.64068,0.58224,0.60945,0.32663,1.78903,1.44182,1.54207,0.0001684,0.0001684,0.0001684
86,1800.24,1.34327,1.00072,1.22809,0.69353,0.55895,0.61023,0.32618,1.80397,1.44032,1.56097,0.0001585,0.0001585,0.0001585
87,1820.5,1.35388,1.01042,1.23626,0.68385,0.56041,0.60394,0.32914,1.808,1.4194,1.57814,0.0001486,0.0001486,0.0001486
88,1841.03,1.3466,1.01032,1.22996,0.654,0.59098,0.61806,0.32838,1.78196,1.41593,1.54137,0.0001387,0.0001387,0.0001387
89,1861.41,1.35197,1.00677,1.23565,0.68402,0.57787,0.62454,0.33025,1.80448,1.44016,1.5626,0.0001288,0.0001288,0.0001288
90,1881.73,1.34445,0.99733,1.2248,0.64821,0.59098,0.61377,0.33106,1.7828,1.42214,1.54142,0.0001189,0.0001189,0.0001189
91,1914.1,1.3613,0.98296,1.25326,0.64888,0.55167,0.59665,0.31832,1.8241,1.44929,1.58469,0.000109,0.000109,0.000109
92,1935.41,1.31345,0.91821,1.2206,0.67451,0.56914,0.61162,0.32737,1.81697,1.40669,1.57812,9.91e-05,9.91e-05,9.91e-05
93,1956.78,1.31655,0.9233,1.22034,0.66236,0.59534,0.62306,0.32927,1.80914,1.39648,1.56595,8.92e-05,8.92e-05,8.92e-05
94,1977.42,1.31229,0.91572,1.22691,0.62218,0.59926,0.61535,0.3307,1.82447,1.39787,1.58516,7.93e-05,7.93e-05,7.93e-05
95,1997.97,1.30015,0.89769,1.21358,0.63351,0.59825,0.61453,0.32909,1.81906,1.4022,1.57792,6.94e-05,6.94e-05,6.94e-05
96,2018.55,1.29933,0.90119,1.21492,0.64165,0.5837,0.60708,0.32804,1.81458,1.4031,1.57607,5.95e-05,5.95e-05,5.95e-05
97,2038.57,1.28943,0.88531,1.21017,0.65307,0.57642,0.6094,0.32897,1.81813,1.40551,1.58583,4.96e-05,4.96e-05,4.96e-05
98,2059.01,1.28978,0.88278,1.2134,0.67309,0.56041,0.61341,0.3279,1.8234,1.39875,1.58991,3.97e-05,3.97e-05,3.97e-05
99,2079.98,1.28314,0.87729,1.2004,0.65575,0.57205,0.6142,0.32842,1.82297,1.39223,1.58956,2.98e-05,2.98e-05,2.98e-05
100,2099.99,1.26987,0.86185,1.2017,0.70703,0.54801,0.61535,0.32945,1.81802,1.39523,1.58752,1.99e-05,1.99e-05,1.99e-05
