epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43112,1.6681,2.57007,1.48933,0.00737,0.47863,0.13951,0.06103,1.85797,3.61504,1.70516,0.000324074,0.000324074,0.0679167
2,12.5578,1.51168,1.71793,1.42806,0.62435,0.3547,0.42755,0.21822,1.78044,2.52432,1.69678,0.000650899,0.000650899,0.0349102
3,18.6684,1.48715,1.59126,1.37923,0.39085,0.50427,0.41188,0.21151,1.5799,2.22337,1.49265,0.000971124,0.000971124,0.00189705
4,24.781,1.4846,1.53757,1.39268,0.68865,0.55768,0.61786,0.33786,1.56709,1.70924,1.45294,0.0009703,0.0009703,0.0009703
5,31.4269,1.46305,1.46464,1.36921,0.66615,0.5,0.58309,0.28845,1.56218,1.75659,1.53419,0.0009604,0.0009604,0.0009604
6,38.1676,1.44099,1.38908,1.34596,0.55588,0.55093,0.57361,0.33399,1.47845,1.82669,1.43111,0.0009505,0.0009505,0.0009505
7,45.0908,1.41902,1.34672,1.34735,0.70926,0.56838,0.65008,0.38608,1.43701,1.63315,1.34869,0.0009406,0.0009406,0.0009406
8,52.4786,1.40537,1.33261,1.33789,0.7658,0.60256,0.6976,0.40846,1.48223,1.52046,1.41564,0.0009307,0.0009307,0.0009307
9,59.5065,1.35988,1.2609,1.28357,0.74615,0.59402,0.70996,0.41702,1.46759,1.47876,1.35409,0.0009208,0.0009208,0.0009208
10,65.807,1.37071,1.26123,1.30366,0.79037,0.61227,0.70779,0.40795,1.4529,1.44246,1.35547,0.0009109,0.0009109,0.0009109
11,71.8421,1.3238,1.20226,1.28962,0.72015,0.59829,0.66864,0.38948,1.41933,1.56759,1.35874,0.000901,0.000901,0.000901
12,77.8149,1.36011,1.2002,1.28804,0.69794,0.67521,0.70954,0.42278,1.38734,1.56693,1.34277,0.0008911,0.0008911,0.0008911
13,83.5027,1.32584,1.1773,1.29346,0.81844,0.67426,0.75833,0.47104,1.37687,1.33833,1.3117,0.0008812,0.0008812,0.0008812
14,88.5027,1.32402,1.13909,1.26971,0.75527,0.66667,0.72034,0.44317,1.41382,1.37541,1.32854,0.0008713,0.0008713,0.0008713
15,93.7235,1.27462,1.09803,1.23409,0.73521,0.66449,0.71236,0.43148,1.41657,1.40374,1.32892,0.0008614,0.0008614,0.0008614
16,98.9086,1.28693,1.12408,1.25206,0.7871,0.68803,0.75319,0.446,1.43634,1.31632,1.32964,0.0008515,0.0008515,0.0008515
17,103.981,1.26355,1.13561,1.23952,0.74016,0.68803,0.72603,0.4479,1.3734,1.42244,1.31632,0.0008416,0.0008416,0.0008416
18,108.947,1.24863,1.07084,1.22764,0.8087,0.68652,0.7719,0.46049,1.38573,1.25914,1.33345,0.0008317,0.0008317,0.0008317
19,114.773,1.28404,1.06779,1.24706,0.71176,0.66481,0.71896,0.42371,1.42673,1.3888,1.34406,0.0008218,0.0008218,0.0008218
20,120.877,1.27214,1.04942,1.24166,0.80265,0.7094,0.80253,0.50231,1.3374,1.20184,1.28924,0.0008119,0.0008119,0.0008119
21,126.95,1.2234,1.02143,1.2168,0.72069,0.68367,0.73098,0.448,1.4213,1.31263,1.33294,0.000802,0.000802,0.000802
22,133.137,1.23002,0.98216,1.20782,0.78393,0.7094,0.79148,0.49023,1.35677,1.23178,1.27706,0.0007921,0.0007921,0.0007921
23,139.154,1.24012,1.01655,1.23195,0.81154,0.65812,0.74279,0.458,1.4188,1.3179,1.32318,0.0007822,0.0007822,0.0007822
24,145.674,1.23025,1.01011,1.20334,0.8006,0.70348,0.77739,0.48379,1.36428,1.22891,1.31186,0.0007723,0.0007723,0.0007723
25,152.096,1.22018,0.98091,1.19742,0.82711,0.70513,0.78463,0.46696,1.42956,1.19838,1.30074,0.0007624,0.0007624,0.0007624
26,158.547,1.18533,0.95276,1.19893,0.83629,0.66667,0.76444,0.48468,1.3197,1.17411,1.26193,0.0007525,0.0007525,0.0007525
27,164.912,1.18622,0.98485,1.20418,0.80326,0.69793,0.79194,0.49827,1.37193,1.15259,1.29104,0.0007426,0.0007426,0.0007426
28,171.083,1.16984,0.957,1.19217,0.79918,0.69231,0.75246,0.47519,1.39427,1.28335,1.28778,0.0007327,0.0007327,0.0007327
29,177.121,1.14228,0.9215,1.17277,0.84145,0.64957,0.77164,0.47982,1.35093,1.19071,1.26107,0.0007228,0.0007228,0.0007228
30,183.086,1.14911,0.88182,1.15747,0.78956,0.68803,0.77759,0.46954,1.34609,1.26665,1.30331,0.0007129,0.0007129,0.0007129
31,189.351,1.13279,0.92471,1.16691,0.79789,0.70858,0.80446,0.51244,1.30202,1.14957,1.26116,0.000703,0.000703,0.000703
32,194.865,1.15371,0.89489,1.16789,0.8001,0.7526,0.80063,0.49404,1.37043,1.13594,1.28498,0.0006931,0.0006931,0.0006931
33,200.022,1.14195,0.89098,1.17998,0.80799,0.70513,0.78628,0.49448,1.30116,1.19563,1.26087,0.0006832,0.0006832,0.0006832
34,205.168,1.11984,0.87764,1.15173,0.77779,0.72222,0.79968,0.51788,1.31653,1.21712,1.25427,0.0006733,0.0006733,0.0006733
35,210.183,1.14167,0.88597,1.16336,0.90081,0.6986,0.81871,0.52075,1.31972,1.19624,1.26257,0.0006634,0.0006634,0.0006634
36,215.017,1.13464,0.87957,1.17734,0.83216,0.72043,0.81083,0.49136,1.43086,1.2716,1.32034,0.0006535,0.0006535,0.0006535
37,219.901,1.08865,0.848,1.15927,0.8022,0.74359,0.8057,0.49883,1.36728,1.14905,1.27739,0.0006436,0.0006436,0.0006436
38,225.769,1.09247,0.83255,1.1544,0.79003,0.68803,0.7832,0.48107,1.39451,1.20141,1.2978,0.0006337,0.0006337,0.0006337
39,232.101,1.07739,0.8402,1.13391,0.78593,0.75309,0.80109,0.50529,1.35429,1.09703,1.26548,0.0006238,0.0006238,0.0006238
40,238.444,1.13047,0.83299,1.13907,0.8008,0.72155,0.77383,0.46854,1.4477,1.17381,1.29815,0.0006139,0.0006139,0.0006139
41,244.726,1.08643,0.81464,1.12784,0.77041,0.71368,0.76631,0.49489,1.41702,1.22828,1.3181,0.000604,0.000604,0.000604
42,250.835,1.0974,0.82685,1.14074,0.84983,0.72554,0.7787,0.50985,1.32664,1.20875,1.29089,0.0005941,0.0005941,0.0005941
43,257.048,1.07852,0.79207,1.13426,0.79838,0.68803,0.77171,0.4868,1.37296,1.22336,1.31168,0.0005842,0.0005842,0.0005842
44,263.251,1.07002,0.81107,1.12619,0.7563,0.73504,0.78915,0.49663,1.4366,1.18759,1.32328,0.0005743,0.0005743,0.0005743
45,269.418,1.06203,0.79445,1.12096,0.75696,0.74786,0.81932,0.51687,1.31119,1.14265,1.25561,0.0005644,0.0005644,0.0005644
46,275.534,1.06941,0.79174,1.12252,0.82656,0.69243,0.80282,0.52018,1.35281,1.11687,1.28204,0.0005545,0.0005545,0.0005545
47,281.676,1.07165,0.79089,1.13428,0.81524,0.71657,0.78784,0.50334,1.45371,1.1192,1.33462,0.0005446,0.0005446,0.0005446
48,287.594,1.06331,0.77785,1.13121,0.85124,0.70914,0.8082,0.51163,1.37014,1.13532,1.28643,0.0005347,0.0005347,0.0005347
49,293.495,1.05486,0.78439,1.11325,0.83416,0.7265,0.78465,0.48328,1.35339,1.18561,1.28305,0.0005248,0.0005248,0.0005248
50,299.384,1.04199,0.76344,1.11695,0.80833,0.72093,0.80045,0.51311,1.31775,1.09092,1.24839,0.0005149,0.0005149,0.0005149
51,305.345,1.02214,0.75158,1.12248,0.82522,0.68376,0.77135,0.49598,1.32521,1.09014,1.25527,0.000505,0.000505,0.000505
52,311.206,1.02398,0.72815,1.09816,0.81621,0.72119,0.80305,0.51662,1.32055,1.11722,1.26671,0.0004951,0.0004951,0.0004951
53,317.277,1.026,0.74191,1.09797,0.78717,0.7265,0.79682,0.51956,1.29542,1.10378,1.22467,0.0004852,0.0004852,0.0004852
54,323.268,1.00544,0.72553,1.09763,0.84465,0.69231,0.78427,0.49278,1.32812,1.1349,1.27958,0.0004753,0.0004753,0.0004753
55,329.183,1.01426,0.71729,1.09288,0.80838,0.7265,0.79033,0.50558,1.39856,1.12158,1.32976,0.0004654,0.0004654,0.0004654
